class;lat;lon;name;type;dateHour;point_geom;timestamp;trail_id;trail_geom;gps_speed;gps_bearing;current_speed;current_angle;SLA;SST;CHL;dayOfYear;weekOfYear;month;year
B;37.7233;-0.0592;Gloria;Loggerhead turtle;2021/05/05 10:14;POINT(-0.0592 37.7233);1620201690;Gloria#1620200940_1620202440;LINESTRING (-0.0585 37.7254, -0.0592 37.7233);0.5786710530504017;194.82992333596488;0.0890163012627082;55.2911825117637;0.0357612146212001;18.053640347593728;0.1463965331146449;125;18;5;2021
B;37.7204;-0.0574;Gloria;Loggerhead turtle;2021/05/05 11:28;POINT(-0.0574 37.7204);1620204660;Gloria#1620202440_1620206880;LINESTRING (-0.0592 37.7233, -0.0574 37.7204);0.2909748086402944;153.7547835596116;0.0898043932341216;55.16063728370559;0.0354031007627998;18.05938358972924;0.1463162021714244;125;18;5;2021
3;37.6278;-0.0278;Gloria;Loggerhead turtle;2021/05/05 17:26;POINT(-0.0278 37.6278);1620217620;Gloria#1620206880_1620228360;LINESTRING (-0.0574 37.7204, -0.0278 37.6278);1.7772484157418738;165.73519299275165;0.1004334954897189;53.00930193860365;0.0277197337512;18.145457011287647;0.1460699179527919;125;18;5;2021
3;37.6245;-0.026;Gloria;Loggerhead turtle;2021/05/05 17:45;POINT(-0.026 37.6245);1620228930;Gloria#1620228360_1620229500;LINESTRING (-0.0278 37.6278, -0.026 37.6245);1.2607815590943754;156.54668917524737;0.1029837938630355;51.127399907812965;0.0268965448177775;18.157540144680524;0.1459888987866058;125;18;5;2021
B;37.6142;-0.0269;Gloria;Loggerhead turtle;2021/05/05 19:12;POINT(-0.0269 37.6142);1620232110;Gloria#1620229500_1620234720;LINESTRING (-0.026 37.6245, -0.0269 37.6142);0.7903086687673236;183.976156894588;0.103632565177904;50.70570651302489;0.0257756760938663;18.16490823414847;0.1462149817253997;125;18;5;2021
3;37.5519;-0.0648;Gloria;Loggerhead turtle;2021/05/06 05:56;POINT(-0.0648 37.5519);1620254040;Gloria#1620234720_1620273360;LINESTRING (-0.0269 37.6142, -0.0648 37.5519);0.7157440752010941;205.84490306486688;0.102357131000555;50.06657530341514;0.0175598870613335;18.21891799343922;0.1489790799194628;126;18;5;2021
1;37.5533;-0.066;Gloria;Loggerhead turtle;2021/05/06 06:25;POINT(-0.066 37.5533);1620274230;Gloria#1620273360_1620275100;LINESTRING (-0.0648 37.5519, -0.066 37.5533);0.3892053330432754;325.6901008702974;0.1064271166289393;47.353026946279336;0.0162607052146666;18.271487975042877;0.1486265733296169;126;18;5;2021
1;39.0114;3.2916;Gloria;Loggerhead turtle;2021/01/23 06:54;POINT(3.2916 39.0114);1611376950;Gloria#1611372660_1611381240;LINESTRING (3.1153 39.0192, 3.2916 39.0114);6.4168435324762365;93.19035073701042;0.2414339003467953;-28.993410705799985;0.0737085740199998;14.971836538647835;0.4729519721696467;23;3;1;2021
1;39.0112;3.2919;Gloria;Loggerhead turtle;2021/01/23 06:58;POINT(3.2919 39.0112);1611381360;Gloria#1611381240_1611381480;LINESTRING (3.2916 39.0114, 3.2919 39.0112);0.5126701977217207;130.5137858410576;0.241919443618944;-28.975010243176158;0.0736113258471109;14.971305126470211;0.4743533465462976;23;3;1;2021
0;39.0441;3.2815;Gloria;Loggerhead turtle;2021/01/23 08:13;POINT(3.2815 39.0441);1611383730;Gloria#1611381480_1611385980;LINESTRING (3.2919 39.0112, 3.2815 39.0441);3.0094502786004225;346.15236546054325;0.2295199073184127;-30.152968718405692;0.0689459724955555;14.902980865072152;0.4706902989480244;23;3;1;2021
2;39.024;3.3109;Gloria;Loggerhead turtle;2021/01/23 08:14;POINT(3.3109 39.024);1611386010;Gloria#1611385980_1611386040;LINESTRING (3.2815 39.0441, 3.3109 39.024);203.1096028601657;131.22798041620985;0.2440026341526162;-30.9812704245298;0.0752978003033332;14.984530604008228;0.4737810115207596;23;3;1;2021
1;39.0358;3.3239;Gloria;Loggerhead turtle;2021/01/23 08:35;POINT(3.3239 39.0358);1611386670;Gloria#1611386040_1611387300;LINESTRING (3.3109 39.024, 3.3239 39.0358);4.934843405781027;40.66825469251853;0.2376076939065279;-32.865673704054835;0.0758661229328887;14.9894392556443;0.4723128924705602;23;3;1;2021
3;39.0318;3.3278;Gloria;Loggerhead turtle;2021/01/23 08:42;POINT(3.3278 39.0318);1611387510;Gloria#1611387300_1611387720;LINESTRING (3.3239 39.0358, 3.3278 39.0318);4.781770527158517;142.74814372353694;0.2373639745616687;-32.94457126729478;0.076750517496778;15.002980467456268;0.4730428159256021;23;3;1;2021
2;39.0363;3.3438;Gloria;Loggerhead turtle;2021/01/23 09:28;POINT(3.3438 39.0363);1611389100;Gloria#1611387720_1611390480;LINESTRING (3.3278 39.0318, 3.3438 39.0363);1.920888247845762;70.1651995356143;0.2314997757179133;-34.64047046161534;0.0783632502733336;15.025113276262118;0.4728368167089954;23;3;1;2021
B;39.0553;3.3546;Gloria;Loggerhead turtle;2021/01/23 09:50;POINT(3.3546 39.0553);1611391140;Gloria#1611390480_1611391800;LINESTRING (3.3438 39.0363, 3.3546 39.0553);6.29246611035703;23.902134855861902;0.2256926919747617;-36.79049994130449;0.0778102579519997;15.013916183655738;0.4712126171229389;23;3;1;2021
3;39.1673;3.6943;Gloria;Loggerhead turtle;2021/01/24 04:19;POINT(3.6943 39.1673);1611425070;Gloria#1611391800_1611458340;LINESTRING (3.3546 39.0553, 3.6943 39.1673);1.7260700269310318;66.95482899017873;0.1374103623435922;83.46797848299227;0.0755382888008003;15.26527966781839;0.4751128699009784;24;3;1;2021
3;39.168;3.6966;Gloria;Loggerhead turtle;2021/01/24 04:25;POINT(3.6966 39.168);1611458520;Gloria#1611458340_1611458700;LINESTRING (3.6943 39.1673, 3.6966 39.168);2.134214456292156;68.64524361911378;0.1420786220783769;66.29902945434426;0.0743715887742223;15.291316000440418;0.4863281882435142;24;3;1;2021
B;39.1726;3.7086;Gloria;Loggerhead turtle;2021/01/24 05:09;POINT(3.7086 39.1726);1611460020;Gloria#1611458700_1611461340;LINESTRING (3.6966 39.168, 3.7086 39.1726);1.5762902466739144;63.778025191642826;0.1406230181735458;64.23016379779581;0.0730246927232884;15.280858697843655;0.4865563803844401;24;3;1;2021
2;39.2683;3.7031;Gloria;Loggerhead turtle;2021/01/25 03:59;POINT(3.7031 39.2683);1611502440;Gloria#1611461340_1611543540;LINESTRING (3.7086 39.1726, 3.7031 39.2683);0.465774988326996;357.4420824530554;0.1163424627992763;-48.7748731342517;0.0589927193838217;15.003275666259356;0.4960205082508579;25;4;1;2021
3;39.2669;3.7031;Gloria;Loggerhead turtle;2021/01/25 04:05;POINT(3.7031 39.2669);1611543720;Gloria#1611543540_1611543900;LINESTRING (3.7031 39.2683, 3.7031 39.2669);1.5542882961156292;180.0;0.1198172551544876;-55.368990420322966;0.0565883603879111;14.906052518102854;0.505756160704851;25;4;1;2021
3;39.2688;3.7045;Gloria;Loggerhead turtle;2021/01/25 05:36;POINT(3.7045 39.2688);1611546630;Gloria#1611543900_1611549360;LINESTRING (3.7031 39.2669, 3.7045 39.2688);0.1602786509243355;29.802094442847988;0.1188826218867555;-49.987389824857736;0.0561573206391112;14.89903388714214;0.5062151330993966;25;4;1;2021
3;39.2695;3.699;Gloria;Loggerhead turtle;2021/01/25 05:39;POINT(3.699 39.2695);1611549450;Gloria#1611549360_1611549540;LINESTRING (3.7045 39.2688, 3.699 39.2695);9.61910224852277;279.3005638583103;0.1183539727066184;-52.81060069931899;0.0561684795666665;14.88892056904183;0.5066460292865994;25;4;1;2021
0;39.2799;3.7053;Gloria;Loggerhead turtle;2021/01/25 06:15;POINT(3.7053 39.2799);1611550620;Gloria#1611549540_1611551700;LINESTRING (3.699 39.2695, 3.7053 39.2799);2.1269895907993424;25.210557149077715;0.1148689433886742;-41.59619427639441;0.0545354681744002;14.87440493811556;0.5060518172345558;25;4;1;2021
